Metricas para cada modelo,time lapsed,loss,parameters
0,847417591300,0.00883751644820778,50145
1,1888884655900,0.011922359670025015,50145
2,849114722500,0.020064806014179617,50145
3,849908925000,0.03127393695649641,50145
4,1525424036100,0.03149569972578001,50145
5,721392914000,0.045242595580273486,50145
6,785210970400,0.047580739120070464,50145
7,864566353300,0.04918765697226945,50145
8,809535004700,0.05280424213046128,50145
9,795215840900,0.055527870291691796,50145
10,810725258100,0.059904614773780104,50145
11,1252447288200,0.06406083896061529,50145
12,847360146800,0.0653145839831546,50145
13,744857390300,0.06970130980839304,50145
14,888097328200,0.07148219532692422,50145
15,780885265300,0.07862880173105216,50145
16,663460185700,0.07968462546740743,50145
17,776293477400,0.08167765811953578,50145
18,760527939200,0.0958696637893861,50145
19,1025588605000,0.10016396017054913,50145
20,1208951311900,0.10295742378948518,50145
21,934182131300,0.10447753130767903,50145
22,743441198000,0.12656378508012167,50145
23,748012716600,0.12945938871238133,50145
24,747901835100,0.13409499856936058,50145
