Metricas para cada modelo,time lapsed,loss
0,155907798300,0.05091211739585017
1,172021135000,0.06119040373334846
2,198058534600,0.06677725691909624
3,225059568700,0.07993675208836094
4,181707908800,0.08744343387362433
5,216716919600,0.09473444317746658
6,155753033200,0.09807525719875425
7,184675706600,0.10926867678090262
8,147126876600,0.14326469303242484
9,117333696100,0.14419608605223797
10,201550263300,0.14732976495540348
11,116088610800,0.15951879509459785
12,177836239800,0.20198429623811043
13,128433281200,0.20418095396853855
14,145182418900,0.21611460818292078
15,102578375200,0.27022342929202836
16,130052267800,0.28882568618806936
17,70262613300,0.3428108277686797
18,47464468200,0.3684442875488557
19,60984830800,0.38626020178203535
20,67057641100,0.41018209793660637
21,72785594400,0.4135429521239639
22,106880421200,0.4228588314859824
23,54934841000,0.4968325756532255
24,75774730000,0.5015323150730724
