Alumno,egreso,baja,ultimo trimestre activo
0,0,0,5
1,0,0,1
2,0,0,2
3,0,0,2
4,0,0,1
5,0,0,1
6,0,0,2
7,0,0,2
8,0,0,2
9,0,0,2
10,0,0,2
11,0,0,0
12,0,0,1
13,1,0,5
14,0,0,5
15,0,0,5
16,0,0,2
17,1,0,5
18,1,0,5
19,1,0,5
20,1,0,5
21,0,0,2
22,0,0,2
23,1,0,5
24,1,0,4
25,1,0,5
26,1,0,5
27,0,0,2
28,1,0,3
29,1,0,5
30,0,0,2
31,0,0,2
32,0,0,2
33,1,0,5
34,1,0,5
35,0,0,4
36,0,0,5
37,0,0,5
38,1,0,5
39,0,0,5
40,1,0,5
41,0,0,5
42,0,0,2
43,0,0,2
44,0,0,2
45,0,0,2
46,0,0,2
47,0,0,2
48,1,0,5
49,0,0,2
50,0,0,2
51,0,0,2
52,0,0,2
53,0,0,5
54,0,0,0
55,0,0,1
56,0,0,0
57,0,0,2
58,1,0,5
59,0,0,2
60,1,0,5
61,1,0,5
62,0,0,2
63,0,0,2
64,0,0,2
65,0,0,2
66,0,0,2
67,1,0,5
68,0,0,2
69,0,0,2
70,0,0,2
71,1,0,5
72,0,0,5
73,0,0,5
74,1,0,5
75,0,0,1
76,0,0,1
77,1,0,5
78,0,0,3
79,0,0,3
80,1,0,5
81,0,0,3
82,0,0,3
83,0,0,2
84,0,0,2
85,0,0,2
86,0,0,1
87,1,0,5
88,1,0,5
89,0,0,2
90,0,0,2
91,0,0,1
92,1,0,3
93,0,0,1
94,0,0,5
95,0,0,5
96,0,0,3
97,0,0,2
98,0,0,5
99,0,0,0
100,0,0,0
101,0,0,2
102,0,0,2
103,0,0,0
104,1,0,5
105,1,0,5
106,1,0,5
107,1,0,5
108,1,0,5
109,0,0,5
110,0,0,5
111,1,0,4
112,1,0,5
113,1,0,5
114,0,0,2
115,1,0,5
116,0,0,5
117,1,0,5
118,1,0,5
119,1,0,5
120,1,0,5
121,1,0,5
122,1,0,5
123,0,0,5
124,1,0,5
125,1,0,5
126,0,0,3
127,0,0,3
128,1,0,5
129,1,0,5
130,1,0,5
131,1,0,5
132,0,0,2
133,0,0,5
134,1,0,5
135,1,0,5
136,0,0,0
137,1,0,5
138,0,0,0
139,1,0,5
140,1,0,5
141,1,0,5
142,0,0,2
143,1,0,5
144,0,0,5
145,1,0,5
146,1,0,5
147,1,0,4
148,0,0,2
149,1,0,5
150,0,0,5
151,1,0,5
152,1,0,5
153,0,0,4
154,0,0,2
155,0,0,2
156,0,0,2
157,0,0,0
158,0,0,5
159,0,0,5
160,0,0,5
161,1,0,4
162,0,0,5
163,0,0,4
164,0,0,5
165,1,0,3
166,1,0,5
167,0,0,5
168,0,0,4
169,0,0,5
170,0,0,5
171,1,0,5
172,1,0,4
173,0,0,5
174,0,0,5
175,1,0,5
176,0,0,5
177,0,0,5
178,0,0,4
179,0,0,5
180,1,0,4
181,0,0,5
182,0,0,4
183,0,0,5
184,0,0,5
185,0,0,4
186,0,0,2
187,1,0,3
188,0,0,2
189,0,0,2
190,0,0,5
191,0,0,4
192,0,0,2
193,0,0,5
194,1,0,5
195,0,0,5
196,0,0,2
197,1,0,5
198,1,0,4
199,0,0,4
200,0,0,4
201,0,0,2
202,0,0,2
203,0,0,5
204,1,0,5
205,0,0,4
206,0,0,2
207,0,0,2
208,0,0,2
209,1,0,4
210,1,0,5
211,1,0,5
212,0,0,4
213,0,0,5
214,0,0,5
215,0,0,4
216,0,0,4
217,0,0,4
218,0,0,4
219,0,0,4
220,0,0,4
221,0,0,4
222,1,0,5
223,0,0,4
224,0,0,4
225,0,0,4
226,0,0,3
227,0,0,2
228,0,0,2
229,1,0,5
230,0,0,3
231,0,0,2
232,0,0,2
233,1,0,5
234,1,0,5
235,0,0,2
236,0,0,2
237,0,0,5
238,1,0,5
239,0,0,2
240,1,0,5
241,0,0,5
242,1,0,5
243,0,0,4
244,0,0,4
245,1,0,3
246,0,0,5
247,1,0,5
248,0,0,5
249,0,0,5
250,0,0,4
251,0,1,4
252,0,0,2
253,0,0,2
254,0,0,2
255,0,0,2
256,1,0,5
257,0,0,2
258,0,0,2
259,0,0,5
260,1,0,5
261,1,0,5
262,1,0,5
263,0,0,2
264,1,0,7
265,0,0,2
266,0,0,2
267,0,0,4
268,0,0,2
269,0,0,2
270,0,0,2
271,0,0,2
272,0,0,4
273,0,0,2
274,0,0,2
275,0,0,2
276,0,0,2
277,0,0,2
278,1,0,7
279,1,0,4
280,0,0,2
281,0,0,4
282,0,0,4
283,0,0,2
284,0,0,2
285,0,0,2
286,0,0,2
287,0,0,2
288,0,0,2
289,0,0,2
290,1,0,5
291,0,0,4
292,0,0,2
293,0,0,2
294,0,0,2
295,0,0,2
296,0,0,2
297,0,0,2
298,1,0,5
299,0,0,4
300,0,0,4
301,0,0,2
302,0,0,2
303,0,0,5
304,0,0,4
305,0,0,4
306,0,0,2
307,0,0,5
308,0,0,5
309,1,0,5
310,0,0,3
311,0,0,3
312,0,0,2
313,1,0,4
314,0,0,5
315,0,0,5
316,1,0,5
317,0,0,3
318,0,0,3
319,0,0,3
320,0,0,2
321,0,0,5
322,0,0,5
323,0,0,3
324,0,0,2
325,0,0,0
326,0,0,1
327,0,0,1
328,0,0,5
329,0,0,3
330,0,0,2
331,0,0,2
332,1,0,5
333,1,0,5
334,0,0,5
335,1,0,5
336,0,0,3
337,0,0,2
338,0,0,2
339,0,0,1
340,0,0,1
341,0,0,5
342,0,0,5
343,1,0,5
344,1,0,5
345,0,0,3
346,0,0,3
347,0,0,3
348,0,0,2
349,0,0,0
350,0,0,1
351,0,0,1
352,1,0,5
353,0,0,3
354,0,0,3
355,0,0,2
356,0,0,1
357,1,0,5
358,0,0,5
359,0,0,2
360,0,0,3
361,0,0,3
362,1,0,5
363,0,0,3
364,0,0,3
365,1,0,5
366,1,0,5
367,1,0,5
368,0,0,3
369,0,0,5
370,1,0,5
371,1,0,5
372,1,0,5
373,1,0,5
374,0,0,3
375,0,0,5
376,1,0,5
377,0,0,3
378,0,0,2
379,1,0,5
380,0,0,5
381,1,0,5
382,0,0,5
383,0,0,2
384,1,0,4
385,1,0,5
386,1,0,5
387,1,0,5
388,0,0,2
389,1,0,5
390,1,0,7
391,0,0,2
392,0,0,1
393,0,0,2
394,0,0,2
395,1,0,5
396,1,0,4
397,1,0,5
398,1,0,5
399,1,0,4
400,1,0,5
401,0,0,2
402,0,0,0
403,0,0,2
404,1,0,4
405,1,0,5
406,0,0,3
407,0,0,5
408,1,0,5
409,0,0,3
410,0,0,3
411,0,0,3
412,1,0,4
413,0,0,5
414,0,0,3
415,0,0,3
416,1,0,5
417,0,0,3
418,1,0,3
419,0,0,5
420,0,0,3
421,1,0,5
422,0,0,5
423,0,0,3
424,1,0,5
425,1,0,5
426,1,0,5
427,0,0,5
428,0,0,3
429,0,0,3
430,1,0,5
431,0,0,3
432,1,0,5
433,0,0,4
434,1,0,5
435,0,1,2
436,0,1,2
437,1,0,5
438,0,0,0
439,0,0,0
440,0,0,2
441,0,0,2
442,0,0,2
443,0,0,2
444,0,0,2
445,1,0,5
446,1,0,3
447,0,0,5
448,1,0,5
449,0,0,2
450,0,0,2
451,0,0,2
452,0,0,5
453,1,0,5
454,0,0,2
455,0,1,2
456,0,0,2
457,1,0,5
458,0,0,2
459,0,0,4
460,0,0,3
461,0,0,3
462,0,0,3
463,0,0,3
464,0,0,2
465,0,0,2
466,0,0,2
467,0,0,2
468,0,0,0
469,0,0,5
470,0,0,3
471,0,0,2
472,0,0,0
473,1,0,5
474,1,0,5
475,0,0,2
476,1,0,4
477,0,0,3
478,0,0,2
479,0,0,0
480,0,0,0
481,0,0,3
482,0,0,3
483,0,0,2
484,0,0,2
485,0,0,5
486,0,0,2
487,0,0,1
488,0,0,3
489,0,0,2
490,0,0,2
491,0,0,1
492,0,0,0
493,0,0,5
494,0,0,2
495,0,0,1
496,0,0,0
497,1,0,5
498,0,0,2
499,0,0,1
500,0,0,1
501,0,0,0
502,0,0,2
503,0,0,2
504,0,0,2
505,0,0,2
506,0,0,5
507,0,0,4
508,0,0,4
509,0,0,2
510,1,0,5
511,0,0,2
512,0,1,2
513,0,0,2
514,0,0,5
515,0,0,2
516,0,0,2
517,1,0,4
518,1,0,5
519,1,0,5
520,0,0,5
521,0,0,5
522,1,0,5
523,0,0,1
524,1,0,4
525,1,0,5
526,0,0,5
527,0,0,2
528,0,0,2
529,0,0,2
530,0,0,2
531,0,0,5
532,0,0,2
533,0,0,4
534,0,0,2
535,0,0,2
536,0,0,3
537,0,0,5
538,0,0,2
539,0,0,2
540,0,0,2
541,1,0,5
542,1,0,5
543,1,0,5
544,1,0,5
545,1,0,5
546,1,0,5
547,0,0,5
548,0,0,2
549,1,0,5
550,0,0,5
551,1,0,5
552,0,0,5
553,1,0,5
554,0,0,5
555,0,0,5
556,0,0,2
557,0,0,4
558,1,0,5
559,1,0,5
560,0,0,2
561,0,0,2
562,0,0,5
563,0,0,2
564,0,0,2
565,0,0,2
566,0,0,2
567,0,0,2
568,0,0,1
569,0,0,5
570,1,0,5
571,0,0,5
572,1,0,5
573,0,0,2
574,0,0,2
575,0,1,2
576,0,0,2
577,0,0,2
578,0,0,2
579,0,0,2
580,0,0,2
581,1,0,3
582,0,0,2
583,0,0,2
584,0,0,2
585,0,0,2
586,0,0,5
587,1,0,5
588,1,0,5
589,0,0,4
590,0,0,3
591,1,0,4
592,0,0,2
593,0,0,2
594,0,0,2
595,0,0,2
596,0,0,2
597,0,0,2
598,0,0,2
599,0,0,2
600,0,0,2
601,0,0,5
602,0,0,2
603,0,0,1
604,0,0,2
605,0,0,2
606,0,0,2
607,1,0,3
608,0,0,5
609,0,0,0
610,0,0,2
611,0,0,1
612,0,0,2
613,0,0,5
614,0,0,4
615,0,0,2
616,0,0,2
617,0,0,2
618,0,0,2
619,0,0,2
620,0,0,2
621,1,0,5
622,0,0,4
623,0,0,2
624,0,0,0
625,0,0,2
626,0,0,0
627,0,0,5
628,0,0,2
629,0,0,0
630,0,0,0
631,0,0,2
632,1,0,5
633,0,0,4
634,0,0,4
635,0,0,4
636,0,0,2
637,0,0,2
638,0,0,2
639,0,0,2
640,0,0,1
641,0,0,2
642,0,0,0
643,0,0,0
644,0,0,2
645,0,0,2
646,0,0,0
647,0,0,0
648,0,0,2
649,0,0,0
650,0,0,2
651,0,0,0
652,0,0,0
653,1,0,5
654,0,0,0
655,0,0,2
656,0,0,2
657,0,0,0
658,0,0,1
659,0,0,5
660,1,0,5
661,0,0,2
662,0,0,2
663,0,0,0
664,0,0,2
665,0,0,2
666,0,0,0
667,0,0,2
668,0,0,5
669,0,0,5
670,0,0,2
671,0,0,2
672,0,0,5
673,0,0,2
674,0,0,2
675,0,0,2
676,0,0,2
677,0,0,1
678,0,1,5
679,1,0,5
680,1,0,3
681,0,0,2
682,0,0,0
683,0,0,1
684,0,0,0
685,0,0,0
686,1,0,7
687,1,0,3
688,0,0,2
689,0,0,2
690,0,0,2
691,0,0,0
692,0,0,0
693,0,0,1
694,1,0,5
695,0,0,2
696,0,0,1
697,0,0,2
698,1,0,5
699,0,0,2
700,0,0,2
701,0,0,0
702,1,0,5
703,1,0,5
704,0,0,4
705,0,0,2
706,0,0,4
707,0,0,4
708,0,0,4
709,0,0,2
710,0,0,2
711,1,0,6
712,0,0,5
713,0,0,4
714,0,0,4
715,0,0,4
716,0,0,2
717,0,0,2
718,0,0,2
719,0,0,5
720,1,0,5
721,0,0,4
722,0,0,4
723,1,0,5
724,1,0,5
725,0,0,4
726,0,0,2
727,1,0,5
728,0,0,4
729,0,0,2
730,0,0,5
731,0,0,5
732,0,0,2
733,0,0,2
734,1,0,5
735,0,0,2
736,0,0,0
737,0,0,2
738,0,0,0
739,0,0,2
740,0,0,2
741,0,0,2
742,0,0,2
743,0,0,0
744,0,0,2
745,0,0,2
746,0,0,4
747,0,0,2
748,0,0,2
749,0,0,2
750,0,0,2
751,0,0,2
752,0,0,0
753,0,0,2
754,1,0,5
755,1,0,4
756,0,0,2
757,0,0,0
758,0,0,2
759,1,0,5
760,0,0,2
761,0,0,2
762,0,0,2
763,0,0,2
764,0,0,0
765,0,0,1
766,0,0,2
767,0,0,2
768,0,0,2
769,1,0,5
770,0,0,5
771,0,0,2
772,0,0,5
773,0,0,2
774,0,0,2
775,0,0,2
776,0,0,2
777,0,0,2
778,0,0,2
779,0,0,2
780,0,0,2
781,0,0,2
782,0,0,0
783,0,0,0
784,0,0,2
785,0,0,2
786,0,0,2
787,0,0,2
788,0,0,2
789,0,0,2
790,0,0,2
791,0,1,4
792,0,0,5
793,0,0,5
794,0,0,3
795,0,0,3
796,0,0,3
797,0,0,2
798,0,0,2
799,0,0,5
800,0,0,5
801,1,0,5
802,1,0,3
803,0,0,2
804,0,1,0
805,0,0,5
806,0,0,3
807,0,0,3
808,0,0,2
809,0,0,1
810,0,0,2
811,1,0,5
812,1,0,5
813,1,0,5
814,0,0,5
815,0,0,5
816,0,0,3
817,0,0,3
818,0,0,3
819,0,0,2
820,0,0,2
821,0,0,2
822,0,0,5
823,1,0,5
824,0,0,3
825,0,0,3
826,0,0,3
827,0,0,3
828,0,0,2
829,0,0,0
830,0,0,0
831,1,0,3
832,1,0,3
833,0,0,3
834,0,0,3
835,0,0,3
836,0,0,2
837,0,0,2
838,0,0,2
839,0,0,2
840,0,0,2
841,0,0,0
842,1,0,5
843,0,0,4
844,0,0,3
845,0,0,3
846,0,0,3
847,0,0,2
848,0,0,2
849,0,0,2
850,0,0,0
851,0,0,2
852,0,0,1
853,0,0,2
854,1,0,5
855,0,0,3
856,0,0,3
857,0,0,2
858,0,0,2
859,0,0,2
