Metricas para cada modelo,time lapsed,loss
0,55615122000,0.09036003615424756
1,63529108800,0.11371383551061924
2,62861466100,0.1154474590449077
3,51171810000,0.11903171941105829
4,53468933200,0.1375305667049768
5,74094127800,0.1403271398457586
6,59824215500,0.1489418343329464
7,51282511400,0.1556825024257551
8,51609800200,0.15579524657508126
9,53927222300,0.16808359560189667
10,74266704700,0.17011256391291604
11,42474847600,0.17489915159813701
12,45772153500,0.17589394825597218
13,54865609200,0.17750315216749307
14,40660328300,0.18101587814637674
15,52181567500,0.18105290077441283
16,57919589800,0.18306920806071442
17,61091003300,0.18767460044693776
18,45284637100,0.18849805522728963
19,57701157000,0.19012875558349498
20,46508324700,0.20304438613102396
21,46836010800,0.21043278841734925
22,65474727300,0.2233184976962492
23,43893672000,0.23472938845394647
24,44372399700,0.28368250348660906
