Alumno,egreso,baja,ultimo trimestre activo
0,0,0,1
1,0,0,1
2,0,0,2
3,0,0,0
4,0,0,1
5,0,0,2
6,0,0,2
7,0,0,0
8,0,0,2
9,0,0,2
10,0,0,0
11,0,0,2
12,0,0,2
13,0,0,2
14,0,0,2
15,0,0,0
16,0,0,1
17,0,0,0
18,0,0,2
19,0,0,2
20,0,0,2
21,0,0,2
22,0,0,1
23,0,0,1
24,1,0,3
25,0,0,2
26,0,0,2
27,0,0,2
28,0,0,2
29,0,0,2
30,0,0,2
31,0,0,2
32,0,0,2
33,0,0,2
34,0,0,2
35,0,0,2
36,1,0,4
37,1,0,5
38,0,0,2
39,0,0,2
40,0,0,2
41,1,0,5
42,1,0,5
43,1,0,5
44,0,0,2
45,0,0,1
46,0,0,2
47,0,0,2
48,0,0,2
49,0,0,5
50,1,0,5
51,1,0,5
52,0,0,2
53,0,0,2
54,1,0,5
55,0,0,2
56,0,0,2
57,1,0,5
58,0,0,5
59,0,0,5
60,0,0,5
61,0,0,5
62,0,0,5
63,0,0,5
64,0,1,3
65,0,0,5
66,1,0,5
67,0,1,5
68,1,0,5
69,0,0,5
70,1,0,5
71,1,0,5
72,0,0,2
73,0,0,5
74,1,0,5
75,0,0,5
76,1,0,5
77,0,0,2
78,1,0,5
79,0,0,2
80,0,0,2
81,0,0,2
82,0,0,2
83,0,0,2
84,0,0,0
85,0,0,5
86,1,0,5
87,0,0,2
88,0,0,4
89,1,0,5
90,0,0,2
91,0,0,2
92,0,0,1
93,0,0,0
94,0,0,1
95,1,0,4
96,0,0,3
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,2
102,0,0,5
103,0,0,3
104,0,0,2
105,0,0,0
106,0,0,1
107,0,0,5
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,0
113,1,0,5
114,0,0,5
115,0,0,2
116,0,0,2
117,0,0,0
118,1,0,5
119,1,0,3
120,0,0,1
121,0,0,0
122,0,0,1
123,0,0,1
124,0,0,0
125,0,0,0
126,0,0,5
127,1,0,5
128,0,0,5
129,0,0,3
130,0,0,0
131,1,0,5
132,1,0,4
133,1,0,5
134,0,0,5
135,0,0,5
136,1,0,4
137,0,0,5
138,1,0,4
139,1,0,5
140,0,0,5
141,1,0,5
142,1,0,4
143,1,0,4
144,1,0,5
145,1,0,5
146,1,0,5
147,1,0,5
148,1,0,4
149,0,0,5
150,1,0,3
151,1,0,5
152,1,0,5
153,1,0,5
154,1,0,5
155,0,0,5
156,1,0,5
157,1,0,5
158,1,0,5
159,1,0,5
160,0,0,0
161,0,0,2
162,0,0,3
163,0,0,6
164,0,0,5
165,1,0,5
166,0,0,2
167,0,0,0
168,0,0,0
169,1,0,3
170,1,0,5
171,0,0,2
172,0,0,1
173,0,0,0
174,0,0,2
175,1,0,5
176,0,0,5
177,1,0,5
178,1,0,5
179,0,0,5
180,0,0,5
181,0,0,2
182,0,0,2
183,0,0,2
184,0,0,2
185,0,0,2
186,0,0,2
187,0,0,2
188,0,1,5
189,0,1,5
190,1,0,3
191,1,0,4
192,0,0,2
193,0,0,2
194,1,0,4
195,1,0,5
