Alumno,egreso,baja,ultimo trimestre activo
0,0,0,1
1,0,0,1
2,0,0,0
3,0,0,1
4,0,0,2
5,0,0,0
6,0,0,1
7,0,0,1
8,0,0,1
9,0,0,2
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,0
14,0,0,1
15,0,0,1
16,0,0,1
17,0,0,1
18,0,0,3
19,0,0,2
20,0,0,2
21,0,0,2
22,0,0,2
23,0,0,2
24,0,0,0
25,0,0,0
26,0,0,1
27,0,0,1
28,0,0,2
29,0,0,2
30,0,0,2
31,0,0,2
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,0
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,2
52,0,0,2
53,0,0,2
54,0,0,2
55,0,0,2
56,1,0,4
57,0,0,2
58,0,0,5
59,0,0,2
60,0,0,2
61,0,0,2
62,0,0,2
63,0,0,2
64,0,0,2
65,0,0,2
66,0,0,2
67,0,0,5
68,0,0,5
69,0,0,5
70,0,0,2
71,0,0,2
72,1,0,5
73,0,0,2
74,0,0,2
75,0,0,5
76,0,0,2
77,1,0,5
78,0,0,5
79,1,0,5
80,0,0,2
81,1,0,5
82,0,0,5
83,0,0,5
84,0,0,5
85,0,0,5
86,0,0,6
87,0,0,5
88,0,0,2
89,0,0,3
90,0,0,5
91,1,0,4
92,0,0,5
93,0,0,2
94,0,0,2
95,0,0,2
96,0,0,2
97,0,0,1
98,0,0,2
99,0,0,2
100,0,0,2
101,0,0,2
102,0,0,1
103,0,0,1
104,0,0,0
105,1,0,5
106,0,0,0
107,0,0,0
108,0,0,2
109,0,0,2
110,0,0,5
111,0,0,5
112,0,0,4
113,0,0,2
114,0,0,2
115,0,0,2
116,0,0,2
117,0,0,2
118,0,0,2
119,0,0,2
120,0,0,2
121,0,0,5
122,0,0,2
123,0,0,2
124,0,0,2
125,0,0,2
126,1,0,5
127,0,0,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,0,1
132,0,0,4
133,1,0,5
134,1,0,5
135,1,0,5
136,1,0,5
137,0,0,2
138,0,0,2
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,1,0,5
144,1,0,5
145,0,0,3
146,1,0,3
147,0,0,3
148,0,0,2
149,0,0,1
150,0,0,0
151,0,0,1
152,0,0,0
153,1,0,5
154,0,0,5
155,1,0,5
156,1,0,3
157,1,0,3
158,1,0,3
159,0,0,3
160,0,0,2
161,0,0,1
162,0,0,1
163,0,0,1
164,0,0,1
165,0,0,5
166,0,0,5
167,0,0,5
168,0,0,1
169,0,0,1
170,0,0,1
171,0,0,1
172,0,0,1
173,0,0,1
174,0,0,1
175,0,0,5
176,0,0,5
177,0,0,5
178,0,0,5
179,0,0,3
180,1,0,3
181,0,0,3
182,0,0,2
183,0,0,1
184,0,0,1
185,0,0,2
186,0,0,4
187,0,0,3
188,0,0,1
189,0,0,1
190,0,0,0
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,0,0,5
