Alumno,egreso,baja,ultimo trimestre activo
0,0,0,1
1,0,0,0
2,0,0,2
3,0,0,1
4,0,0,2
5,0,0,2
6,0,0,0
7,0,0,2
8,0,0,1
9,0,0,5
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,5
14,0,0,2
15,1,0,5
16,0,0,5
17,0,0,2
18,1,0,5
19,0,0,2
20,0,0,2
21,1,0,3
22,0,0,2
23,0,0,5
24,1,0,5
25,1,0,5
26,0,0,2
27,0,0,2
28,1,0,5
29,0,0,2
30,0,0,2
31,0,0,2
32,0,0,2
33,1,0,5
34,0,0,2
35,0,0,2
36,0,0,2
37,0,0,2
38,0,0,2
39,0,0,1
40,0,0,2
41,0,0,5
42,0,0,1
43,0,0,3
44,0,0,1
45,0,0,2
46,0,0,0
47,0,0,1
48,0,0,1
49,0,0,0
50,0,0,1
51,0,0,5
52,1,0,5
53,0,0,2
54,0,0,0
55,0,0,1
56,0,0,0
57,0,0,1
58,0,0,0
59,0,0,1
60,0,0,3
61,0,0,1
62,0,0,0
63,0,0,1
64,0,0,1
65,0,0,1
66,1,0,5
67,0,0,0
68,1,0,5
69,0,0,5
70,1,0,5
71,0,0,5
72,1,0,5
73,1,0,5
74,1,0,5
75,0,0,5
76,0,0,5
77,0,0,5
78,1,0,5
79,0,0,3
80,1,0,5
81,1,0,5
82,0,0,5
83,0,0,5
84,0,0,5
85,0,0,1
86,1,0,5
87,0,0,2
88,0,1,5
89,0,0,2
90,0,1,2
91,1,0,5
92,0,0,5
93,0,0,4
94,0,0,2
95,0,0,2
96,0,0,5
97,1,0,5
98,0,0,2
99,1,0,3
100,0,0,5
101,0,0,5
102,0,0,5
103,0,0,5
104,0,0,5
105,0,0,4
106,1,0,5
107,0,0,5
108,0,0,4
109,1,0,4
110,1,0,5
111,0,0,5
112,0,0,4
113,0,0,4
114,1,0,5
115,1,0,5
116,0,0,5
117,0,0,5
118,0,0,4
119,0,0,5
120,0,0,4
121,1,0,5
122,1,0,4
123,0,0,5
124,0,0,5
125,0,0,4
126,0,0,2
127,0,0,2
128,0,0,4
129,0,0,2
130,0,0,2
131,0,0,4
132,0,0,4
133,0,0,4
134,1,0,5
135,0,0,4
136,0,0,4
137,0,1,5
138,0,0,5
139,0,0,4
140,1,0,3
141,0,0,4
142,1,0,5
143,0,0,4
144,0,0,5
145,0,0,5
146,0,0,4
147,0,0,4
148,0,0,4
149,0,0,2
150,0,0,2
151,0,0,2
152,0,0,2
153,0,0,2
154,0,0,2
155,0,0,5
156,0,0,4
157,0,0,2
158,0,0,0
159,0,0,5
160,0,0,2
161,0,0,2
162,0,0,2
163,0,0,2
164,0,0,4
165,0,0,4
166,0,0,4
167,0,0,0
168,0,0,0
169,0,0,5
170,0,0,5
171,0,0,5
172,0,0,4
173,0,0,2
174,0,0,2
175,0,1,4
176,0,0,2
177,0,1,0
178,0,0,2
179,0,0,2
180,0,0,2
181,0,0,2
