Metricas para cada modelo,time lapsed,loss
0,153645028300,0.0325858361237374
1,79653523100,0.057485626576177
2,109066564600,0.07117979197683658
3,103685939500,0.07523067167965533
4,105762884300,0.08483800655493375
5,162822292000,0.0920821823341932
6,78691288500,0.09523753960267098
7,65212487100,0.103371284270405
8,70437340300,0.11120356781089198
9,88876400000,0.11398788606117742
10,113541840200,0.11596882853563624
11,67707548900,0.11809582097233161
12,86516768600,0.12730790035617312
13,94533041400,0.13364817481014885
14,56863565600,0.1346195256762822
15,67377647500,0.1359377434898769
16,76198348000,0.1378854504686907
17,69619689900,0.16193233447734082
18,61324189800,0.1654347160797145
19,82661249900,0.17726223592940343
20,60801349400,0.18121218595680005
21,103701138300,0.20211493097781988
22,78164431900,0.21752779438920428
23,78128609300,0.2362327531927946
24,56766191200,0.3066422559715823
