Alumno,egreso,baja,ultimo trimestre activo
0,0,0,1
1,0,0,1
2,0,0,0
3,0,0,2
4,0,0,1
5,0,0,2
6,0,0,2
7,0,0,1
8,0,0,0
9,0,0,0
10,0,0,2
11,0,0,2
12,0,0,1
13,0,0,1
14,0,0,2
15,0,0,1
16,0,0,1
17,0,0,0
18,1,0,5
19,0,0,2
20,0,0,5
21,0,0,3
22,0,0,0
23,0,0,2
24,1,0,5
25,0,0,5
26,0,0,5
27,0,0,2
28,0,0,2
29,0,0,5
30,0,0,5
31,0,0,2
32,0,0,2
33,0,0,0
34,0,0,2
35,1,0,5
36,0,0,2
37,0,0,2
38,0,0,2
39,0,0,2
40,0,0,2
41,1,0,5
42,0,0,4
43,0,0,5
44,1,0,4
45,0,0,5
46,0,0,5
47,0,0,5
48,0,0,5
49,0,0,4
50,1,0,5
51,1,0,5
52,1,0,5
53,0,0,2
54,0,0,2
55,1,0,8
56,0,0,2
57,0,0,2
58,0,0,2
59,0,0,5
60,1,0,5
61,1,0,5
62,0,0,2
63,0,0,0
64,0,0,0
65,0,0,2
66,0,0,5
67,1,0,5
68,1,0,8
69,1,0,5
70,0,0,2
71,0,0,5
72,0,0,2
73,0,0,0
74,0,0,0
75,1,0,5
76,0,0,5
77,0,0,5
78,0,0,5
79,0,0,4
80,0,0,5
81,0,0,5
82,0,0,3
83,0,0,3
84,0,0,2
85,0,0,2
86,0,0,0
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,1,0,5
93,0,0,3
94,0,0,3
95,0,0,2
96,0,0,2
97,0,0,1
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,1
104,0,0,1
105,0,0,3
106,0,0,2
107,0,0,2
108,0,0,0
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,0
113,0,0,1
114,0,0,0
115,0,0,5
116,1,0,5
117,0,0,3
118,0,0,3
119,0,0,2
120,0,0,2
121,0,0,0
122,0,0,1
123,0,0,5
124,0,0,3
125,0,0,2
126,0,0,2
127,0,0,2
128,1,0,5
129,0,1,5
130,0,0,5
131,1,0,5
132,0,0,5
133,1,0,3
134,0,0,5
135,0,0,5
136,0,0,2
137,1,0,4
138,1,0,5
139,0,0,4
140,0,0,5
141,1,0,5
142,1,0,5
143,1,0,5
144,0,0,5
145,0,0,5
146,0,0,3
147,1,0,5
148,0,0,5
149,1,0,5
150,1,0,5
151,1,0,4
152,0,0,5
153,0,0,5
154,0,0,2
155,0,0,2
156,0,0,5
157,0,0,5
158,1,0,5
159,0,0,5
160,0,0,0
161,0,0,2
162,1,0,7
163,1,0,3
164,1,0,5
165,0,0,5
166,0,0,2
167,0,1,5
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,2
172,0,0,0
173,1,0,5
174,0,0,5
175,1,0,5
176,1,0,5
177,0,0,5
178,0,0,5
179,1,0,5
180,0,0,2
181,0,0,2
182,1,0,5
183,0,0,2
184,0,0,5
185,0,0,4
186,0,0,5
187,1,0,5
188,0,0,2
189,1,0,4
190,0,0,5
191,0,0,5
192,0,0,5
193,0,0,5
194,0,0,5
195,0,0,3
