Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9871794871794872,0.9871794871794872,0.9875,0.987177379582443,0.9871794871794872,0.01678473397895402,1.0,1.0,0.9746794344808963
1,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631578,0.9743589743589743,0.05901691157530883,1.0,1.0,0.9499679070317291
2,0.9620253164556962,0.9620253164556962,0.9646747129820431,0.961952112246454,0.9615384615384616,0.07926986981693433,1.0,1.0,0.9266478335988364
3,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631578,0.9743589743589743,0.09002861159189668,1.0,1.0,0.9499679070317291
4,0.9493670886075949,0.9493670886075949,0.9540771268766559,0.949269592629304,0.95,0.20866155193022132,0.9993589743589745,0.9993589743589744,0.9034816377588655
5,0.9620253164556962,0.9620253164556962,0.9646747129820431,0.961952112246454,0.9615384615384616,0.14550793230669015,0.9948011975972504,0.9948717948717948,0.9266478335988364
6,0.9620253164556962,0.9620253164556962,0.9646747129820431,0.961952112246454,0.9615384615384616,0.22879927416970586,0.9987652439024391,0.9987179487179487,0.9266478335988364
7,0.9493670886075949,0.9493670886075949,0.953970080552359,0.9492041770522783,0.9487179487179487,0.16555135325377504,1.0,1.0,0.903244604661891
8,0.9487179487179487,0.9487179487179487,0.9534883720930233,0.948582729070534,0.9487179487179487,0.24581269803385636,0.9987015121630507,0.9986850756081526,0.9021937088963173
9,0.9873417721518988,0.9873417721518988,0.9876505094164867,0.9873377130761097,0.9871794871794872,0.10317984579113319,0.9946466235725185,0.9948717948717949,0.9749841646538823
10,0.9620253164556962,0.9620253164556962,0.9646747129820431,0.961952112246454,0.9615384615384616,0.1779053405486999,0.9949209711164141,0.9948717948717948,0.9266478335988364
11,0.9746835443037974,0.9746835443037974,0.9758890898131405,0.9746591703092247,0.9743589743589743,0.16222497256485965,0.9988095238095239,0.9987179487179487,0.9505476860951815
12,0.9615384615384616,0.9615384615384616,0.9642857142857144,0.9614814814814813,0.9615384615384616,0.22851844980400948,0.9909904615392306,0.9921104536489151,0.9258200997725515
13,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631578,0.9743589743589743,0.1926982240471506,0.9736671612211784,0.9829059829059829,0.9499679070317291
14,0.9493670886075949,0.9493670886075949,0.9540771268766559,0.949269592629304,0.95,0.21625681485803272,0.9958888961925401,0.9961538461538462,0.9034816377588655
15,0.9620253164556962,0.9620253164556962,0.9646747129820431,0.961952112246454,0.9615384615384616,0.23513583514056086,0.9753823927597547,0.9833333333333333,0.9266478335988364
16,0.9240506329113924,0.9240506329113924,0.933957072096863,0.923535472475714,0.9230769230769231,0.3113322169985961,0.9964612470862472,0.9961538461538462,0.8577796647025724
17,0.9493670886075949,0.9493670886075949,0.953970080552359,0.9492041770522783,0.9487179487179487,0.2577463817111918,0.9938890478149427,0.9942307692307693,0.903244604661891
18,0.9240506329113924,0.9240506329113924,0.9341772151898735,0.92368408191193,0.925,0.2910459529213993,0.9628314157700483,0.9801282051282051,0.8582928793055822
19,0.9102564102564102,0.9102564102564102,0.9239130434782609,0.9095277547638775,0.9102564102564102,0.44567887106696286,0.9960117408275798,0.9960552268244576,0.8340576562282991
20,0.9493670886075949,0.9493670886075949,0.9540771268766559,0.949269592629304,0.95,0.3483446148503391,0.9888842344330037,0.9903846153846154,0.9034816377588655
21,0.9487179487179487,0.9487179487179487,0.9534883720930233,0.948582729070534,0.9487179487179487,0.2811159620832404,0.9935564655512859,0.9940828402366864,0.9021937088963173
22,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631578,0.9743589743589743,0.22999968151873637,0.9632902719308942,0.9730440499671269,0.9499679070317291
23,0.9615384615384616,0.9615384615384616,0.9642857142857144,0.9614814814814813,0.9615384615384616,0.37092254579992906,0.9700375303485628,0.9783037475345168,0.9258200997725515
24,0.9367088607594937,0.9367088607594937,0.9439010356731875,0.9365055157338215,0.9375,0.4960643405758647,0.9849300054174591,0.9884615384615384,0.8806634895453438
