Metricas para cada modelo,time lapsed,loss
0,2596207685600,0.0002617006769032227
1,139220458600,0.02084101759899498
2,124295826400,0.02577796304535212
3,877417295900,0.05088432077969438
4,65129624300,0.05100812691717403
5,71353196300,0.053928411453332194
6,75856290800,0.05469583316941164
7,739692327700,0.055741069103061536
8,65650262700,0.06422481767384658
9,72100483800,0.06427567561664949
10,634673461900,0.07326175177584969
11,717826456900,0.07988481844031173
12,70765206100,0.10013791048950738
13,724688640700,0.101482177872921
14,69976066500,0.11150341492663857
15,84273739300,0.11533033937195535
16,76139244600,0.1172848013904395
17,716375774800,0.12922938365382622
18,751133170300,0.14110613257371432
19,830138377700,0.14809398041633318
20,65536086600,0.1551785019928386
21,648935672900,0.15591745917846192
22,69913536700,0.16797654614142157
23,76917567300,0.19337380761052558
24,684487996200,0.24400364489789728
