Alumno,egreso,baja,ultimo trimestre activo
0,0,0,1
1,0,0,2
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,2
6,0,0,0
7,0,0,2
8,0,0,2
9,0,0,2
10,0,0,5
11,1,0,5
12,0,0,2
13,0,0,5
14,0,0,2
15,0,1,2
16,0,0,4
17,0,0,2
18,1,0,5
19,0,0,5
20,1,0,5
21,0,0,5
22,0,0,5
23,1,0,5
24,0,0,2
25,1,0,5
26,0,0,5
27,0,0,5
28,0,0,5
29,0,0,2
30,0,0,5
31,1,0,5
32,0,0,4
33,1,0,4
34,0,0,5
35,0,0,2
36,0,0,2
37,0,0,2
38,0,0,2
39,0,0,2
40,0,0,1
41,0,0,2
42,0,0,2
43,0,0,2
44,0,0,2
45,0,0,2
46,0,0,2
47,0,0,2
48,0,0,2
49,0,0,5
50,0,0,5
51,0,0,2
52,0,0,2
53,0,0,2
54,0,0,5
55,0,0,2
56,1,0,4
57,1,0,5
58,1,0,5
59,1,0,5
60,0,0,5
61,0,0,1
62,0,0,0
63,1,0,5
64,0,0,2
65,0,0,2
66,0,0,0
67,0,0,1
68,0,0,0
69,0,0,0
70,0,0,1
71,0,0,1
72,1,0,5
73,0,0,5
74,0,0,3
75,1,0,3
76,0,0,2
77,0,0,1
78,0,0,0
79,0,0,1
80,1,0,5
81,0,0,2
82,0,0,2
83,0,0,1
84,0,0,5
85,1,0,5
86,1,0,5
87,0,0,3
88,0,0,3
89,0,0,2
90,0,0,2
91,0,0,1
92,1,0,5
93,0,0,5
94,0,0,5
95,0,0,5
96,0,0,5
97,0,0,5
98,0,0,5
99,1,0,5
100,0,0,5
101,1,0,5
102,1,0,5
103,1,0,5
104,0,0,5
105,0,0,5
106,1,0,5
107,1,0,4
108,0,0,5
109,1,0,5
110,1,0,5
111,0,0,5
112,1,0,5
113,0,0,5
114,1,0,5
115,1,0,5
116,1,0,5
117,1,0,5
118,1,0,5
119,1,0,5
120,1,0,5
121,1,0,5
122,0,0,5
123,1,0,5
124,1,0,4
125,0,0,5
126,0,0,5
127,0,0,2
128,0,0,2
129,0,0,2
130,0,0,2
131,0,0,2
132,0,0,2
133,0,0,2
134,0,0,2
135,0,0,1
136,0,0,2
