Alumno,egreso,baja,ultimo trimestre activo
0,1,0,4
1,0,0,1
2,0,0,0
3,0,0,2
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,2
8,0,0,2
9,0,0,1
10,0,0,2
11,0,0,1
12,0,0,2
13,0,0,2
14,0,0,1
15,0,0,1
16,0,0,1
17,0,0,1
18,0,0,5
19,0,0,2
20,0,0,2
21,0,0,2
22,0,0,2
23,0,0,2
24,0,0,2
25,0,0,2
26,0,0,4
27,0,0,5
28,0,0,2
29,0,0,2
30,1,0,4
31,0,0,2
32,1,0,5
33,1,0,5
34,0,0,2
35,1,0,5
36,1,0,5
37,1,0,5
38,0,0,2
39,0,0,2
40,0,0,2
41,0,0,2
42,0,0,2
43,1,0,5
44,1,0,5
45,1,0,5
46,0,0,2
47,0,0,1
48,0,0,2
49,0,0,2
50,1,0,5
51,0,0,2
52,0,0,5
53,1,0,5
54,0,0,5
55,0,0,5
56,0,0,5
57,0,0,5
58,0,0,5
59,0,0,2
60,0,0,2
61,1,0,3
62,0,0,5
63,0,0,2
64,0,0,0
65,0,0,4
66,0,0,5
67,0,0,0
68,0,0,2
69,0,0,5
70,0,0,2
71,0,0,2
72,0,0,0
73,0,0,2
74,0,0,3
75,0,0,2
76,0,0,2
77,0,0,2
78,0,0,0
79,0,0,1
80,0,0,0
81,0,0,5
82,0,0,5
83,0,0,5
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,5
90,0,0,2
91,0,0,1
92,0,0,0
93,0,0,0
94,0,0,2
95,0,0,2
96,0,0,1
97,0,0,0
98,0,0,0
99,1,0,5
100,0,0,5
101,0,0,5
102,0,0,5
103,0,0,5
104,0,0,3
105,0,0,2
106,0,0,0
107,0,0,0
108,1,0,5
109,0,0,0
110,0,0,0
111,1,0,5
112,0,0,3
113,0,0,2
114,0,0,1
115,0,0,1
116,1,0,5
117,0,0,4
118,1,0,5
119,0,0,5
120,1,0,5
121,0,0,2
122,0,0,2
123,0,0,0
124,0,0,1
125,1,0,5
126,1,0,5
127,0,0,5
128,0,0,5
129,0,0,5
130,1,0,5
131,0,0,5
132,1,0,5
133,1,0,5
134,0,0,5
135,0,0,5
136,1,0,5
137,0,0,2
138,1,0,5
139,1,0,5
140,1,0,5
141,1,0,5
142,1,0,5
143,0,0,5
144,1,0,5
145,1,0,5
146,1,0,5
147,1,0,5
148,0,0,5
149,0,0,5
150,1,0,5
151,0,0,5
152,1,0,5
153,1,0,5
154,0,0,5
155,1,0,5
156,0,0,5
157,1,0,5
158,0,0,2
159,0,0,2
160,0,0,2
161,0,0,2
162,0,0,2
163,0,0,2
164,0,0,2
165,0,0,2
166,0,0,2
167,0,0,2
168,1,0,4
169,1,0,6
170,0,0,5
171,0,0,5
172,1,0,5
173,1,0,5
174,1,0,5
175,0,0,5
176,1,0,5
177,0,0,2
178,0,0,0
179,0,0,0
180,0,0,2
181,0,0,0
182,0,0,2
183,0,1,5
184,0,0,4
185,1,0,5
186,0,0,2
187,1,0,8
188,1,0,5
189,1,0,5
190,0,0,5
191,1,0,5
192,0,0,5
193,1,0,4
194,0,0,2
195,1,0,5
196,0,0,5
197,1,0,5
198,0,0,5
199,1,0,4
200,0,0,4
201,0,0,4
202,0,0,5
203,1,0,5
204,1,0,5
205,1,0,5
206,0,0,5
207,1,0,5
208,1,0,5
209,0,0,4
210,1,0,3
211,0,0,5
212,0,0,4
213,1,0,4
214,0,0,4
215,1,0,5
216,1,0,5
217,0,0,4
218,0,0,5
219,1,0,5
220,1,0,4
221,1,0,4
222,1,0,5
223,0,0,5
224,0,0,4
225,1,0,5
226,0,0,4
227,1,0,4
228,1,0,5
229,0,0,3
230,0,0,5
231,0,0,4
232,0,0,2
233,1,0,5
234,1,0,5
235,0,0,5
236,1,0,5
237,1,0,4
238,0,0,2
239,0,0,2
240,0,0,2
241,0,0,5
242,1,0,5
243,0,0,5
244,0,0,4
245,0,0,1
246,0,0,2
247,0,0,2
248,0,0,5
249,0,0,5
250,0,0,4
251,0,0,2
252,0,0,2
253,0,0,2
254,0,0,2
255,0,0,2
256,0,0,5
257,0,0,4
258,0,0,4
259,0,0,4
260,0,0,2
261,0,0,2
262,0,0,2
263,0,0,2
264,1,0,4
265,1,0,5
266,0,0,5
267,1,0,4
268,0,0,5
269,0,0,2
270,0,0,4
271,1,0,4
272,0,0,4
273,0,0,5
274,0,0,4
275,0,0,4
276,0,0,4
277,0,0,4
278,0,0,2
279,1,0,3
280,1,0,5
281,0,0,5
282,0,0,4
283,0,0,4
284,0,0,4
285,0,0,4
286,0,0,4
287,1,0,5
288,0,0,5
289,0,0,5
290,0,0,4
291,1,0,4
292,1,0,5
293,0,0,5
294,0,0,4
295,0,0,4
296,0,0,2
297,0,0,3
298,0,0,2
299,0,0,2
300,0,0,2
301,1,0,5
302,0,0,3
303,0,0,2
304,0,0,2
305,1,0,5
306,1,0,5
307,1,0,5
308,1,0,4
309,0,0,2
310,0,0,2
311,0,0,2
312,0,0,2
313,0,0,2
314,0,0,2
315,1,0,5
316,1,0,5
317,0,0,4
318,1,0,4
319,1,0,3
320,0,0,3
321,0,0,2
322,0,0,2
323,0,0,2
324,0,0,2
325,0,0,2
326,0,0,2
327,0,0,1
328,0,0,4
329,0,0,4
330,0,0,4
331,1,0,4
332,0,0,2
333,0,0,0
334,0,0,2
335,0,0,1
336,1,0,3
337,0,0,4
338,1,0,5
339,0,0,4
340,0,0,4
341,0,0,4
342,0,0,2
343,0,0,0
344,0,0,2
345,1,0,4
346,0,0,4
347,0,0,2
348,0,0,2
349,0,0,2
350,0,0,2
351,0,0,5
352,0,0,5
353,0,0,2
354,0,0,2
355,0,0,2
356,0,0,7
357,1,0,5
358,1,0,5
359,1,0,5
360,0,0,5
361,0,0,2
362,0,0,2
363,0,0,2
364,0,0,4
365,0,0,2
366,0,0,2
367,0,0,2
368,0,0,2
369,0,0,2
370,0,0,2
371,0,0,2
372,0,0,2
373,1,0,4
374,0,0,2
375,0,0,2
376,0,0,2
377,0,0,2
378,1,0,5
379,1,0,4
380,0,0,4
381,0,0,4
382,0,0,2
383,0,0,2
384,0,0,2
385,0,0,2
386,0,0,2
387,0,0,5
388,0,0,2
389,0,0,1
390,0,0,2
391,0,0,2
392,1,0,7
393,1,0,5
394,0,0,5
395,0,0,4
396,0,0,2
397,0,0,2
398,0,0,2
399,1,0,5
400,0,0,2
401,0,0,0
402,0,0,1
403,0,0,1
404,0,0,0
405,1,0,5
406,1,0,5
407,0,0,2
408,0,0,1
409,0,0,1
410,0,0,0
411,0,0,5
412,1,0,5
413,0,0,3
414,1,0,3
415,0,0,2
416,0,0,2
417,0,0,1
418,0,0,0
419,0,0,4
420,1,0,5
421,1,0,5
422,0,0,5
423,0,0,3
424,0,0,2
425,0,0,2
426,0,0,2
427,0,0,2
428,0,0,1
429,0,0,1
430,0,0,3
431,0,0,2
432,0,0,2
433,0,0,2
434,0,0,2
435,0,0,1
436,0,0,1
437,0,0,1
438,0,0,0
439,0,0,1
440,1,0,5
441,0,0,5
442,0,0,5
443,0,0,3
444,0,0,2
445,0,0,2
446,1,0,5
447,1,0,5
448,1,0,5
449,0,0,5
450,1,0,5
451,0,0,5
452,1,0,5
453,0,0,2
454,0,0,2
455,0,0,2
456,0,0,1
457,0,0,1
458,0,0,1
459,0,0,5
460,0,0,5
461,0,0,2
462,0,0,2
463,0,0,2
464,0,0,1
465,0,0,3
466,1,0,5
467,1,0,5
468,0,0,4
469,0,0,5
470,0,0,3
471,0,0,3
472,0,0,3
473,0,0,5
474,0,0,5
475,0,0,5
476,0,0,3
477,0,0,3
478,1,0,4
479,1,0,3
480,0,0,3
481,0,0,5
482,0,0,5
483,0,0,5
484,0,0,5
485,1,0,5
486,0,0,2
487,0,0,2
488,1,0,5
489,1,0,4
490,0,0,5
491,0,0,2
492,0,0,2
493,0,0,2
494,1,0,5
495,0,0,0
496,0,0,5
497,0,0,5
498,0,0,0
499,0,0,0
500,0,0,2
501,1,0,5
502,0,0,2
503,0,0,0
504,0,0,2
505,1,0,5
506,0,0,2
507,0,0,0
508,1,0,6
509,0,0,2
510,0,0,2
511,0,0,2
512,1,0,7
513,0,0,7
514,0,0,2
515,1,0,5
516,0,0,2
517,0,0,0
518,0,0,3
519,0,0,5
520,1,0,5
521,0,0,5
522,1,0,5
523,0,0,3
524,0,1,3
525,0,0,3
526,1,0,5
527,1,0,5
528,1,0,5
529,0,0,5
530,0,0,3
531,0,0,3
532,0,0,5
533,1,0,5
534,0,0,4
535,0,0,3
536,1,0,5
537,0,0,5
538,0,0,5
539,0,1,3
540,1,0,5
541,0,0,5
542,1,0,5
543,0,0,3
544,0,0,3
545,0,0,2
546,1,0,5
547,1,0,5
548,1,0,5
549,1,0,5
550,0,0,3
551,0,0,3
552,0,0,3
553,1,0,5
554,1,0,5
555,0,0,5
556,1,0,5
557,0,0,5
558,0,1,5
559,1,0,5
560,1,0,5
561,0,1,2
562,0,0,5
563,1,0,5
564,0,0,1
565,0,0,5
566,0,0,2
567,0,0,2
568,0,0,2
569,0,0,2
570,0,0,2
571,0,0,2
572,0,0,2
573,0,0,1
574,0,0,2
575,0,0,2
576,0,0,5
577,0,0,5
578,0,0,5
579,0,0,2
580,0,0,2
581,0,0,5
582,1,0,5
583,1,0,5
584,0,0,2
585,0,0,2
586,0,0,2
587,0,0,2
588,0,0,2
589,0,0,2
590,0,0,2
591,0,0,2
592,0,0,2
593,0,0,2
594,0,0,1
595,1,0,6
596,0,0,5
597,0,0,3
598,0,0,2
599,0,0,2
600,0,0,2
601,1,0,3
602,0,0,5
603,0,0,3
604,0,0,2
605,0,0,1
606,1,0,3
607,0,0,3
608,1,0,3
609,0,0,3
610,0,0,3
611,0,0,2
612,0,0,2
613,0,0,2
614,0,0,0
615,0,0,2
616,0,0,2
617,0,1,2
618,0,0,5
619,0,0,3
620,0,0,3
621,0,0,3
622,0,0,2
623,0,0,2
624,0,0,2
625,0,0,2
626,0,0,0
627,0,0,2
628,0,0,5
629,0,0,3
630,0,0,3
631,0,0,2
632,0,0,2
633,0,0,2
634,0,0,2
635,0,0,0
636,1,0,5
637,0,0,2
638,0,0,2
639,0,0,1
640,0,0,1
641,0,0,1
642,1,0,4
643,0,0,5
644,0,0,5
645,0,0,2
646,0,0,0
647,0,0,1
648,0,0,0
649,0,0,2
650,0,0,2
651,0,0,1
652,0,0,2
653,0,0,0
654,0,0,1
655,0,0,2
656,0,0,1
657,0,0,2
658,0,0,2
659,0,0,2
660,0,0,2
661,1,0,5
662,0,0,5
663,0,0,2
664,0,0,5
665,0,0,5
666,0,0,2
667,0,0,2
668,0,0,5
669,0,0,4
670,1,0,4
671,0,0,2
672,0,0,2
673,1,0,4
674,0,0,4
675,0,0,5
676,0,0,0
677,0,0,5
678,0,0,2
679,0,0,2
680,0,0,2
681,1,0,5
682,1,0,5
683,0,0,2
684,1,0,5
685,1,0,5
686,1,0,5
687,1,0,5
688,0,0,5
689,1,0,5
690,0,0,5
691,0,0,2
692,0,0,2
693,1,0,5
694,1,0,5
695,0,0,5
696,0,0,5
697,0,0,5
698,0,0,5
699,0,0,1
700,0,0,2
701,0,0,5
702,1,0,5
703,0,0,5
704,0,0,5
705,0,0,2
