Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9690721649484536,0.9690721649484536,0.9709278350515465,0.9690721649484536,0.97,0.08714303230376151,0.9945274265693095,0.9953191489361702,0.94
1,0.9693877551020408,0.9693877551020408,0.9712244897959185,0.9693973184400283,0.9705882352941176,0.07391344666728195,0.9976851371391002,0.9979140592407176,0.9405880513556087
2,0.9591836734693877,0.9591836734693877,0.9623233908948194,0.9591496598639456,0.96,0.15798499794300153,0.9860501811227822,0.9870833333333333,0.9215371773459654
3,0.9381443298969072,0.9381443298969072,0.9451468585878234,0.9380258828690502,0.94,0.17760593365531546,0.993725467892268,0.9940425531914893,0.8833896979762477
4,0.9489795918367347,0.9489795918367347,0.9507908163265307,0.9489955307333805,0.9501460158531497,0.15261464394515709,0.9713943795110304,0.9799749687108885,0.8997291732382108
5,0.9381443298969072,0.9381443298969072,0.9451468585878234,0.9380258828690502,0.94,0.1801632013340664,0.9721529143310346,0.9825531914893617,0.8833896979762477
6,0.9484536082474226,0.9484536082474226,0.9534099920697858,0.9483988008133423,0.95,0.18000252073517942,0.9731630610609894,0.98,0.9019210267321294
7,0.9381443298969072,0.9381443298969072,0.9451468585878234,0.9380258828690502,0.94,0.17623130933199505,0.9942312276787862,0.994468085106383,0.8833896979762477
8,0.9693877551020408,0.9693877551020408,0.9711884753901561,0.9693781917640534,0.97,0.1846843837682431,0.9249986694104777,0.9775,0.9405880513556087
9,0.9587628865979382,0.9587628865979382,0.9587628865979382,0.9587628865979382,0.9587234042553192,0.1578528828624513,0.9234380168503624,0.9770212765957447,0.9174468085106383
10,0.9587628865979382,0.9587628865979382,0.9619971700020215,0.9587453538116277,0.96,0.14851861518058468,0.9766199960498737,0.9838297872340425,0.9207839796906232
11,0.9175257731958762,0.9175257731958762,0.9295220243673851,0.9171742206519541,0.9199999999999999,0.19133958536749976,0.9942540036503099,0.9948936170212765,0.8472415132759855
12,0.9175257731958762,0.9175257731958762,0.9205842803279987,0.9174907076232555,0.9187234042553192,0.21234915390831205,0.9789766659101375,0.9812765957446808,0.8381604403474313
13,0.9484536082474226,0.9484536082474226,0.9534099920697858,0.9483988008133423,0.95,0.239137898737105,0.9234770668402439,0.9770212765957447,0.9019210267321294
14,0.9387755102040817,0.9387755102040817,0.945578231292517,0.9386222574136037,0.94,0.2268846690910438,0.9736211693569661,0.9775,0.8844332774281065
15,0.9387755102040817,0.9387755102040817,0.9457065845206007,0.9386989795918368,0.9411764705882353,0.2539808112626438,0.9662674101661589,0.9741343345848978,0.88456991185989
16,0.9285714285714286,0.9285714285714286,0.9333492594362159,0.9285342378125884,0.9305381727158948,0.26920287374852303,0.9407204605572623,0.9607843137254902,0.8619758300031996
17,0.8979591836734694,0.8979591836734694,0.9091350826044704,0.8974472732236707,0.8995833333333333,0.47116435063362627,0.8961415717578621,0.9504166666666667,0.8072802418546418
18,0.9072164948453608,0.9072164948453608,0.9221281296023564,0.9066819478189712,0.9099999999999999,0.3793769587684566,0.9252212062977564,0.9608510638297872,0.8295868162611347
