Metricas para cada modelo,time lapsed,loss
0,1583227902900,0.045170572108518436
1,221507835100,0.060641272811629905
2,1363277821200,0.09394627669038447
3,2200769448400,0.0971233400797574
4,1088676640900,0.09874572579562647
5,1197243567200,0.09988481282047507
6,1389751563900,0.10027589017360493
7,397775565300,0.10551261640065161
8,215905587900,0.1096427413230501
9,328928583900,0.10981878408087833
10,1591773793700,0.11390445404751713
11,1309012160300,0.13419652583956368
12,1059122331900,0.13746602340730676
13,1281298467600,0.1435510676892642
14,534824180600,0.15057235420047366
15,217399082700,0.1673265403906501
16,1046368491500,0.18617938783347268
17,1128021994400,0.23085341010827679
18,1531913228900,0.2620736891765407
