Alumno,egreso,baja,ultimo trimestre activo
0,0,0,5
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,1
6,0,0,2
7,0,0,2
8,0,0,2
9,0,0,2
10,0,0,2
11,0,0,0
12,0,0,1
13,0,0,1
14,0,0,1
15,0,0,2
16,0,0,2
17,0,0,1
18,0,0,1
19,0,0,2
20,0,0,2
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,2
25,0,0,2
26,0,0,1
27,0,0,2
28,0,0,2
29,0,0,1
30,0,0,0
31,0,0,1
32,0,0,2
33,0,0,2
34,0,0,1
35,0,0,0
36,0,0,0
37,0,0,1
38,0,0,5
39,0,0,3
40,0,0,2
41,0,0,2
42,0,0,5
43,1,0,5
44,0,0,2
45,0,0,2
46,0,0,2
47,0,0,2
48,0,0,2
49,0,0,2
50,0,0,5
51,0,0,2
52,0,0,4
53,0,0,2
54,0,0,2
55,0,0,2
56,0,0,2
57,0,0,2
58,0,0,2
59,0,0,5
60,0,0,2
61,0,0,2
62,0,0,2
63,0,0,1
64,0,0,2
65,0,1,2
66,1,0,3
67,0,0,2
68,0,0,2
69,0,0,2
70,0,0,2
71,0,0,2
72,0,0,2
73,0,0,5
74,0,0,5
75,0,0,5
76,0,0,5
77,1,0,5
78,0,0,2
79,0,0,2
80,0,0,2
81,0,0,5
82,0,0,5
83,0,0,0
84,0,0,5
85,0,0,2
86,0,0,2
87,0,0,2
88,0,0,5
89,0,0,2
90,0,0,5
91,1,0,7
92,0,0,5
93,0,0,5
94,0,0,2
95,0,0,1
96,0,0,0
97,0,0,0
98,0,0,1
99,0,0,5
100,0,0,0
101,0,0,1
102,0,0,1
103,0,0,1
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,1,0,5
114,0,0,5
115,0,0,3
116,0,0,3
117,0,0,2
118,0,0,1
119,0,0,1
120,0,0,0
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,0
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,5
130,1,0,5
131,0,0,3
132,0,0,3
133,0,0,3
134,0,0,2
135,0,0,1
136,0,0,1
137,0,0,1
138,0,0,1
139,0,0,0
140,0,0,1
141,1,0,5
142,1,0,5
143,0,0,3
144,0,0,3
145,0,0,2
146,0,0,2
147,0,0,1
148,0,0,1
149,0,0,1
150,0,0,0
151,0,0,1
152,0,0,1
153,0,1,3
154,0,0,3
155,0,0,2
156,0,0,0
157,0,0,1
158,0,0,1
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,5
164,1,0,5
165,0,0,5
166,0,0,3
167,0,0,2
168,0,0,0
169,0,0,1
170,0,0,1
171,1,0,5
172,0,0,5
173,0,0,3
174,1,0,3
175,0,0,3
176,0,0,1
177,0,0,0
178,0,0,5
179,1,0,5
180,1,0,5
181,0,0,5
182,1,0,5
183,1,0,5
184,1,0,5
185,0,0,5
186,1,0,3
187,1,0,5
188,0,0,5
189,1,0,5
190,1,0,4
191,1,0,5
192,0,0,5
193,0,0,2
194,1,0,5
195,1,0,5
196,0,0,5
197,1,0,5
198,0,0,5
199,1,0,5
200,1,0,5
201,0,0,5
202,1,0,4
203,1,0,5
204,1,0,5
205,1,0,5
206,1,0,4
207,1,0,5
208,0,0,2
209,1,0,5
210,1,0,5
211,0,0,2
212,0,0,2
213,0,0,0
214,0,0,2
215,0,0,2
216,0,0,2
217,0,0,2
218,0,0,2
219,0,0,4
220,0,0,5
221,1,0,5
222,0,0,2
223,0,0,0
224,0,0,1
225,0,0,2
226,0,0,0
227,0,0,1
228,0,0,0
229,1,0,3
230,1,0,5
231,1,0,5
232,1,0,4
233,0,0,5
234,0,0,5
235,1,0,5
236,0,0,5
237,0,0,5
238,0,0,2
239,0,0,2
240,0,0,2
241,1,0,5
242,1,0,5
243,1,0,5
244,0,0,5
245,1,0,5
246,0,0,1
247,0,0,0
248,0,0,2
249,0,0,2
250,1,0,5
251,1,0,5
252,0,0,5
253,0,0,5
254,0,0,5
255,0,0,5
256,1,0,5
257,1,0,5
258,1,0,5
259,0,0,5
260,0,0,5
261,1,0,5
262,0,1,5
263,1,0,5
264,0,0,5
265,0,0,5
266,0,0,4
267,0,0,3
268,1,0,5
269,0,0,4
270,0,0,5
271,0,0,5
272,1,0,5
273,1,0,5
274,0,0,5
275,0,0,4
276,0,0,2
277,0,0,4
278,1,0,5
279,1,0,5
280,0,0,5
281,1,0,5
282,1,0,4
283,0,0,4
284,0,0,2
285,0,0,5
286,0,0,4
287,0,0,2
288,0,0,2
289,0,0,1
290,0,0,4
291,0,0,4
292,0,0,2
293,0,0,2
294,1,0,5
295,1,0,5
296,0,0,4
297,0,0,2
298,1,0,5
299,0,0,5
300,0,0,5
301,1,0,5
302,0,0,5
303,0,0,5
304,0,0,5
305,0,0,4
306,0,0,4
307,0,0,2
308,0,0,2
309,0,0,4
310,1,0,4
311,1,0,5
312,1,0,4
313,0,0,5
314,1,0,5
315,0,0,0
316,0,0,4
317,0,0,4
318,0,0,4
319,0,0,4
320,0,0,5
321,0,0,4
322,0,0,5
323,0,0,4
324,1,0,4
325,1,0,5
326,0,0,5
327,0,0,4
328,0,0,2
329,0,0,2
330,0,0,2
331,0,0,2
332,0,0,0
333,0,0,5
334,1,0,5
335,1,0,4
336,0,0,4
337,0,0,4
338,0,0,2
339,0,0,3
340,0,0,2
341,0,0,2
342,0,0,2
343,1,0,4
344,0,0,4
345,0,0,3
346,0,0,2
347,0,0,2
348,0,0,2
349,0,0,0
350,0,0,2
351,0,0,5
352,1,0,3
353,0,0,2
354,0,0,2
355,0,0,2
356,0,0,2
357,0,0,2
358,0,0,2
359,0,0,5
360,0,0,4
361,0,0,2
362,0,0,2
363,0,0,2
364,0,0,2
365,0,0,2
366,0,0,0
367,0,0,0
368,1,0,5
369,0,0,4
370,0,0,2
371,0,0,2
372,0,0,2
373,0,0,2
374,0,0,2
375,1,0,4
376,1,0,5
377,0,0,4
378,0,0,5
379,0,0,4
380,0,0,4
381,0,0,2
382,0,0,2
383,0,0,2
384,0,1,5
385,0,0,2
386,0,0,2
387,0,0,2
388,0,0,2
389,0,0,2
390,0,0,2
391,1,0,5
392,1,0,5
393,0,0,2
394,0,0,2
395,1,0,5
396,0,0,4
397,0,0,2
398,0,0,2
399,0,0,2
400,0,0,2
401,0,0,4
402,1,0,5
403,0,0,4
404,0,0,4
405,0,0,2
406,0,0,2
407,0,0,4
408,0,0,2
409,0,0,2
410,0,0,2
411,0,0,1
412,0,0,2
413,0,0,2
414,1,0,5
415,1,0,5
416,0,0,4
417,0,0,4
418,0,0,4
419,0,0,4
420,0,0,2
421,0,0,2
422,0,0,2
423,0,1,5
424,0,0,2
425,0,0,2
426,0,0,2
427,0,0,2
428,0,0,2
429,0,0,2
430,0,0,2
431,0,0,2
432,0,0,2
433,1,0,6
434,0,0,0
435,0,0,2
436,0,0,2
437,0,0,1
438,0,0,1
439,1,0,5
440,0,0,3
441,0,0,3
442,0,0,2
443,0,0,1
444,0,0,1
445,0,0,1
446,0,0,3
447,0,0,2
448,0,0,2
449,0,0,5
450,0,0,5
451,0,0,3
452,0,0,2
453,0,0,2
454,0,0,0
455,0,0,1
456,0,0,7
457,1,0,5
458,0,0,4
459,1,0,5
460,0,0,3
461,0,0,3
462,0,0,2
463,0,0,0
464,0,0,5
465,1,0,5
466,0,0,5
467,0,0,5
468,0,0,5
469,0,0,3
470,0,0,2
471,0,0,1
472,0,0,0
473,0,0,0
474,0,0,3
475,0,0,2
476,0,0,1
477,0,0,0
478,0,0,1
479,0,0,1
480,0,0,1
481,0,0,3
482,1,0,5
483,0,0,3
484,1,0,5
485,1,0,5
486,0,0,5
487,0,0,4
488,0,0,3
489,0,0,2
490,1,0,5
491,0,0,5
492,0,0,5
493,0,0,5
494,0,0,3
495,0,0,2
496,0,0,5
497,1,0,5
498,0,0,3
499,0,0,5
500,0,0,5
501,0,0,5
502,1,0,5
503,0,0,5
504,1,0,5
505,0,0,3
506,0,0,2
507,0,0,2
508,0,0,1
509,0,0,1
510,0,0,0
511,0,0,1
512,0,0,2
513,0,0,2
514,0,0,2
515,0,0,0
516,0,0,2
517,0,0,2
518,1,0,5
519,1,0,5
520,0,0,2
521,0,0,2
522,1,0,5
523,1,0,5
524,0,0,2
525,0,0,2
526,0,0,0
527,0,0,2
528,0,0,2
529,0,0,2
530,1,0,4
531,0,0,0
532,0,0,2
533,0,0,5
534,1,0,5
535,0,0,3
536,1,0,5
537,0,0,3
538,0,0,3
539,0,0,5
540,1,0,3
541,1,0,3
542,1,0,3
543,0,0,5
544,0,0,3
