Alumno,egreso,baja,ultimo trimestre activo
0,0,0,2
1,0,0,2
2,0,0,2
3,0,0,1
4,1,0,5
5,0,0,5
6,0,0,5
7,0,0,2
8,0,0,5
9,1,0,5
10,0,0,2
11,1,0,5
12,0,0,4
13,0,0,2
14,0,0,5
15,0,0,5
16,0,0,2
17,0,0,2
18,0,0,2
19,0,0,2
20,0,0,2
21,0,0,0
22,0,0,2
23,0,0,4
24,1,0,5
25,0,0,2
26,0,0,1
27,0,0,0
28,0,0,2
29,0,0,2
30,0,0,3
31,0,0,2
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,5
36,1,0,5
37,0,0,5
38,1,0,5
39,1,0,5
40,0,0,5
41,0,0,5
42,1,0,4
43,0,0,5
44,1,0,5
45,0,0,5
46,1,0,5
47,1,0,5
48,1,0,5
49,0,0,3
50,0,0,5
51,1,0,5
52,0,0,4
53,1,0,5
54,0,0,2
55,0,0,2
56,1,0,5
57,1,0,5
58,0,0,5
59,0,0,5
60,0,0,0
61,1,0,5
62,1,0,5
63,1,0,5
64,0,0,5
65,0,0,5
66,0,0,4
67,0,0,5
68,0,0,4
69,0,0,5
70,1,0,5
71,0,0,4
72,1,0,5
73,1,0,5
74,0,0,5
75,1,0,5
76,0,0,5
77,1,0,5
78,0,0,5
79,1,0,5
80,1,0,5
81,0,0,5
82,0,0,4
83,0,0,5
84,0,0,5
85,1,0,5
86,1,0,5
87,0,0,5
88,0,0,4
89,0,0,5
90,0,0,5
91,1,0,5
92,0,0,4
93,0,0,2
94,1,0,4
95,0,0,5
96,0,0,4
97,0,0,4
98,0,0,2
99,1,0,5
100,1,0,4
101,0,0,5
102,0,0,4
103,0,0,4
104,1,0,5
105,0,0,4
106,1,0,4
107,0,0,4
108,0,0,4
109,0,0,5
110,1,0,4
111,0,0,5
112,0,0,4
113,1,0,3
114,1,0,4
115,1,0,5
116,0,0,4
117,0,0,3
118,0,0,4
119,1,0,5
120,0,0,5
121,0,0,5
122,0,0,5
123,0,0,4
124,0,0,3
125,1,0,5
126,0,0,5
127,0,0,4
128,0,0,3
129,0,0,2
130,0,1,2
131,1,0,5
132,1,0,5
133,0,0,2
134,0,0,2
135,0,0,2
136,0,0,3
137,0,0,2
138,0,0,5
139,0,0,2
140,0,0,0
141,0,0,5
142,0,0,4
143,0,0,2
144,0,0,2
145,0,0,3
146,0,0,4
147,0,0,2
148,0,0,2
149,0,0,2
150,0,0,5
151,0,0,2
152,0,0,5
153,0,0,5
154,0,1,2
155,1,0,6
156,0,0,5
157,0,0,2
158,0,0,2
159,0,0,2
160,0,0,2
161,0,0,2
162,0,0,2
163,1,0,4
164,0,0,2
165,0,0,2
166,0,0,2
167,0,0,2
168,0,0,4
169,0,0,4
170,1,0,4
171,1,0,4
172,1,0,5
173,1,0,4
174,0,1,5
175,0,0,5
176,0,0,5
177,0,0,2
178,0,0,1
179,0,0,2
180,0,1,1
181,1,0,5
182,1,0,5
183,0,0,5
184,0,0,5
185,1,0,5
186,0,0,2
187,0,0,1
188,0,0,4
189,0,0,5
190,0,0,5
191,0,0,1
192,1,0,5
193,0,0,2
194,0,0,0
195,0,0,2
196,1,0,5
197,0,0,3
198,0,0,2
199,0,0,2
200,0,0,2
201,0,0,1
202,0,0,5
203,1,0,5
204,0,0,5
205,0,0,3
206,1,0,5
207,0,1,5
208,1,0,5
209,1,0,5
210,1,0,5
211,0,0,2
212,0,0,5
213,1,0,5
214,0,0,2
215,0,0,5
216,0,0,5
217,0,0,5
218,0,0,3
219,0,0,3
220,0,0,3
221,0,0,3
