Alumno,egreso,baja,ultimo trimestre activo
0,0,0,0
1,0,0,0
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,0
7,0,0,1
8,0,0,1
9,0,0,1
10,0,0,2
11,0,0,2
12,0,0,1
13,0,0,1
14,0,0,1
15,0,0,2
16,0,0,0
17,0,0,0
18,0,0,2
19,0,0,1
20,0,0,1
21,0,0,2
22,0,0,2
23,0,0,2
24,0,0,2
25,0,0,2
26,0,0,1
27,1,0,5
28,0,0,5
29,1,0,5
30,0,0,3
31,0,0,3
32,0,0,2
33,0,0,2
34,0,0,2
35,0,0,2
36,0,0,2
37,1,0,5
38,0,0,5
39,0,0,2
40,0,0,2
41,0,0,2
42,0,0,2
43,0,0,2
44,1,0,5
45,1,0,5
46,0,0,5
47,0,0,4
48,0,0,2
49,1,0,5
50,1,0,5
51,1,0,4
52,0,0,5
53,0,0,2
54,0,0,2
55,0,0,5
56,0,0,5
57,0,0,2
58,0,0,5
59,0,0,5
60,1,0,5
61,1,0,6
62,0,0,5
63,1,0,4
64,0,0,5
65,0,0,0
66,0,0,5
67,1,0,5
68,1,0,5
69,1,0,5
70,0,0,2
71,0,0,2
72,0,0,2
73,0,0,2
74,0,0,2
75,1,0,5
76,0,0,2
77,0,0,2
78,0,0,2
79,0,0,2
80,0,0,2
81,0,0,2
82,0,0,2
83,0,0,2
84,0,0,0
85,0,0,2
86,0,0,0
87,0,0,4
88,1,0,5
89,1,0,5
90,0,0,2
91,0,0,0
92,0,0,2
93,0,0,2
94,0,0,2
95,0,1,5
96,0,0,2
97,0,0,2
98,0,0,2
99,0,0,2
100,0,0,2
101,1,0,8
102,1,0,5
103,1,0,5
104,0,0,2
105,0,0,2
106,0,0,1
107,0,0,0
108,0,0,5
109,0,0,1
110,0,0,5
111,0,0,5
112,0,0,3
113,1,0,3
114,0,0,2
115,0,0,2
116,0,0,1
117,0,0,0
118,1,0,5
119,1,0,5
120,1,0,5
121,0,0,3
122,0,0,0
123,0,0,0
124,1,0,5
125,0,0,5
126,0,1,0
127,1,0,5
128,0,0,3
129,0,0,2
130,0,0,0
131,0,0,0
132,1,0,5
133,1,0,5
134,0,0,4
135,0,0,5
136,0,0,5
137,0,0,3
138,1,0,3
139,0,0,2
140,0,0,2
141,0,0,5
142,0,0,4
143,0,0,1
144,0,0,1
145,0,0,1
146,1,0,5
147,0,0,3
148,1,0,5
149,1,0,5
150,1,0,5
151,1,0,5
152,0,0,5
153,1,0,5
154,1,0,5
155,1,0,5
156,1,0,5
157,1,0,5
158,1,0,5
159,0,0,5
160,1,0,5
161,0,0,2
162,1,0,5
163,0,0,5
164,1,0,5
165,1,0,5
166,1,0,5
167,0,0,5
168,0,0,2
169,1,0,5
170,0,0,4
171,1,0,5
172,1,0,5
173,1,0,5
174,1,0,5
175,0,0,5
176,1,0,5
177,1,0,5
178,0,0,5
179,1,0,5
180,0,0,2
181,0,0,0
182,0,0,2
183,1,0,5
184,0,0,1
185,0,0,2
186,0,0,2
187,1,0,5
188,0,0,2
189,0,0,2
190,0,0,2
191,0,0,2
192,1,0,5
193,0,0,2
194,0,0,2
195,0,1,2
196,0,1,2
197,1,0,5
198,0,0,1
199,0,0,0
200,0,1,0
201,0,0,5
202,1,0,5
203,1,0,5
204,0,0,5
205,1,0,5
206,0,1,3
207,1,0,4
208,0,0,2
209,1,0,5
210,1,0,5
211,1,0,5
212,1,0,5
213,1,0,4
214,1,0,4
215,0,0,2
216,0,0,2
217,0,0,2
218,0,0,2
219,0,0,2
220,0,0,5
221,1,0,5
222,0,0,5
223,1,0,5
224,0,0,5
225,1,0,4
226,1,0,4
227,1,0,4
228,0,0,2
229,0,0,2
230,1,0,5
231,0,0,5
232,0,0,4
